Scenario,ScenName,Year,Median,CI_High,CI_Low
1,Lim,1,-0.376523841,-0.362729891,-0.389681835
1,Lim,2,-0.755556768,-0.72768239,-0.783125005
1,Lim,3,-1.138469383,-1.095403589,-1.178315484
1,Lim,4,-1.525853775,-1.4712018,-1.581508986
1,Lim,5,-1.913920597,-1.840150747,-1.980054905
1,Lim,6,-2.305202689,-2.224250567,-2.387452265
1,Lim,7,-2.700431144,-2.60389131,-2.79945506
1,Lim,8,-3.096103864,-2.990432566,-3.213253044
1,Lim,9,-3.498345918,-3.371494156,-3.620638832
1,Lim,10,-3.90261851,-3.75486232,-4.037502226
1,Lim,11,-3.927299935,-3.779031508,-4.069643792
1,Lim,12,-3.956418673,-3.811043492,-4.10246608
1,Lim,13,-3.982211806,-3.840873897,-4.124804614
1,Lim,14,-4.010960658,-3.864659969,-4.154740724
1,Lim,15,-4.034787612,-3.892108011,-4.176861446
1,Lim,16,-4.048305738,-3.906081889,-4.200011271
1,Lim,17,-4.079989599,-3.933880444,-4.22738521
1,Lim,18,-4.10221169,-3.967267621,-4.245772443
1,Lim,19,-4.120001084,-3.985235068,-4.263451645
1,Lim,20,-4.145808852,-4.008379308,-4.2839186
1,Lim,21,-4.16704411,-4.02308823,-4.306061454
1,Lim,22,-4.186578566,-4.026004612,-4.329809008
1,Lim,23,-4.208023249,-4.055451354,-4.351162813
1,Lim,24,-4.217964999,-4.077145086,-4.355297836
1,Lim,25,-4.237504519,-4.085080048,-4.385201408
1,Lim,26,-4.250454124,-4.11006887,-4.392685532
1,Lim,27,-4.264018656,-4.111319994,-4.416761925
1,Lim,28,-4.273712832,-4.118946097,-4.422888647
1,Lim,29,-4.287859482,-4.136971934,-4.434560034
1,Lim,30,-4.301379172,-4.154153673,-4.454755414
1,Lim,31,-4.315066159,-4.16819591,-4.455703426
2,Amb,1,-1.961293696,-1.898465709,-2.029032768
2,Amb,2,-2.498209171,-2.41270328,-2.590944702
2,Amb,3,-3.092133379,-2.990307544,-3.19769812
2,Amb,4,-3.757171432,-3.621218518,-3.88659268
2,Amb,5,-4.434588351,-4.276319971,-4.592969992
2,Amb,6,-5.033405858,-4.8655642,-5.218626077
2,Amb,7,-5.551734873,-5.360191149,-5.74062477
2,Amb,8,-6.020580577,-5.81912898,-6.239820589
2,Amb,9,-6.470237617,-6.246715161,-6.683446367
2,Amb,10,-6.835622379,-6.602104192,-7.054723677
2,Amb,11,-7.184797048,-6.956327791,-7.433313115
2,Amb,12,-7.266531974,-7.017575079,-7.497510113
2,Amb,13,-7.370098156,-7.127831574,-7.585233406
2,Amb,14,-7.435660039,-7.214887234,-7.678811372
2,Amb,15,-7.516018716,-7.277092675,-7.763976686
2,Amb,16,-7.611612301,-7.346796721,-7.852103745
2,Amb,17,-7.691795576,-7.450002555,-7.943595353
2,Amb,18,-7.770249114,-7.527738722,-8.008450959
2,Amb,19,-7.876983904,-7.622876747,-8.106308323
2,Amb,20,-7.933082494,-7.689893545,-8.180391787
2,Amb,21,-8.029815693,-7.767816005,-8.281716802
2,Amb,22,-8.107391061,-7.868142238,-8.368735074
2,Amb,23,-8.196182019,-7.929634941,-8.436011814
2,Amb,24,-8.275125868,-8.003043931,-8.556855408
2,Amb,25,-8.351344845,-8.076200061,-8.616212578
2,Amb,26,-8.435764767,-8.156395626,-8.689527432
2,Amb,27,-8.510292818,-8.258349443,-8.781043819
2,Amb,28,-8.604311916,-8.33276792,-8.855425099
2,Amb,29,-8.673962095,-8.415343846,-8.939828101
2,Amb,30,-8.761274427,-8.485143433,-9.008520143
2,Amb,31,-8.842232742,-8.563947234,-9.098754539
3,Mod,1,-0.39742038,-0.381751325,-0.411412479
3,Mod,2,-0.795598958,-0.765895264,-0.82649444
3,Mod,3,-1.197312397,-1.15353491,-1.240836997
3,Mod,4,-1.601588951,-1.540745184,-1.662070667
3,Mod,5,-2.01270949,-1.932761131,-2.0919089
3,Mod,6,-2.421100149,-2.334377747,-2.510916173
3,Mod,7,-2.834943691,-2.736599407,-2.938375273
3,Mod,8,-3.258066557,-3.13559858,-3.37125366
3,Mod,9,-3.682337623,-3.560807097,-3.809683023
3,Mod,10,-4.10513562,-3.958046188,-4.250221156
3,Mod,11,-4.23203549,-4.069514386,-4.38794219
3,Mod,12,-4.2824093,-4.131480574,-4.439487369
3,Mod,13,-4.32831176,-4.165562782,-4.485523686
3,Mod,14,-4.378239788,-4.213121934,-4.53806913
3,Mod,15,-4.421811629,-4.27494443,-4.586552222
3,Mod,16,-4.481162103,-4.316534803,-4.637419827
3,Mod,17,-4.52148227,-4.359591499,-4.680972561
3,Mod,18,-4.571154877,-4.414649274,-4.726572872
3,Mod,19,-4.621208359,-4.447493361,-4.770909711
3,Mod,20,-4.660782001,-4.502085027,-4.828954114
3,Mod,21,-4.705724114,-4.546475658,-4.865107914
3,Mod,22,-4.751539129,-4.59332689,-4.905787079
3,Mod,23,-4.787145602,-4.629043062,-4.950465697
3,Mod,24,-4.831749888,-4.662379993,-4.995739252
3,Mod,25,-4.87318754,-4.691837799,-5.038438565
3,Mod,26,-4.909504127,-4.755138335,-5.088934221
3,Mod,27,-4.944931438,-4.784669585,-5.108908024
3,Mod,28,-4.985323314,-4.82130384,-5.142756772
3,Mod,29,-5.01999157,-4.851126338,-5.19264115
3,Mod,30,-5.05336028,-4.885188968,-5.228160988
3,Mod,31,-5.088965713,-4.914997618,-5.251253586
