Scenario,ScenName,Activity,Year,Median,CI_High,CI_Low
1,Lim,ACF,1,-0.011186561,-0.010119481,-0.012295326
1,Lim,ACF,2,-0.022422059,-0.020202563,-0.0246162
1,Lim,ACF,3,-0.033854667,-0.030257731,-0.03691292
1,Lim,ACF,4,-0.044902212,-0.040695366,-0.049425982
1,Lim,ACF,5,-0.056234619,-0.051150844,-0.061290421
1,Lim,ACF,6,-0.067478796,-0.061272632,-0.074655707
1,Lim,ACF,7,-0.078847127,-0.071276931,-0.086869779
1,Lim,ACF,8,-0.090003336,-0.081711009,-0.098805248
1,Lim,ACF,9,-0.101525545,-0.092054332,-0.111824562
1,Lim,ACF,10,-0.1125468,-0.102653582,-0.12422347
1,Lim,ACF,11,-0.113303624,-0.103141358,-0.124046371
1,Lim,ACF,12,-0.113494107,-0.102302003,-0.12481236
1,Lim,ACF,13,-0.114121723,-0.102635465,-0.124639455
1,Lim,ACF,14,-0.114174821,-0.102666823,-0.124479248
1,Lim,ACF,15,-0.114334822,-0.103377946,-0.125573876
1,Lim,ACF,16,-0.114528566,-0.10358799,-0.125536247
1,Lim,ACF,17,-0.114512942,-0.103685903,-0.124384392
1,Lim,ACF,18,-0.114531197,-0.103998652,-0.1260222
1,Lim,ACF,19,-0.114910249,-0.103104452,-0.125374741
1,Lim,ACF,20,-0.114461184,-0.103734117,-0.125921675
1,Lim,ACF,21,-0.114825772,-0.103579876,-0.12695961
1,Lim,ACF,22,-0.115042408,-0.104078732,-0.126333289
1,Lim,ACF,23,-0.115363418,-0.103991835,-0.125714877
1,Lim,ACF,24,-0.115337097,-0.104792821,-0.126056139
1,Lim,ACF,25,-0.115578889,-0.104083099,-0.126164131
1,Lim,ACF,26,-0.11563233,-0.103857042,-0.12660925
1,Lim,ACF,27,-0.116067707,-0.104429633,-0.12747388
1,Lim,ACF,28,-0.115862737,-0.104856892,-0.126866369
1,Lim,ACF,29,-0.115587025,-0.104828277,-0.126933942
1,Lim,ACF,30,-0.116023223,-0.104949205,-0.127028736
1,Lim,ACF,31,-0.115641681,-0.104998189,-0.126971715
1,Lim,ag,1,-0.009670459,-0.00854737,-0.010756855
1,Lim,ag,2,-0.019305823,-0.017366966,-0.02148741
1,Lim,ag,3,-0.028831587,-0.025899467,-0.032202571
1,Lim,ag,4,-0.038562347,-0.033868959,-0.042817461
1,Lim,ag,5,-0.048299299,-0.043309386,-0.053480507
1,Lim,ag,6,-0.058209928,-0.052369956,-0.06427546
1,Lim,ag,7,-0.067729559,-0.060640205,-0.074969755
1,Lim,ag,8,-0.076994311,-0.068309716,-0.085093479
1,Lim,ag,9,-0.086786169,-0.077023594,-0.096152195
1,Lim,ag,10,-0.096468395,-0.086412438,-0.106208862
1,Lim,ag,11,-0.096589602,-0.085244946,-0.107148693
1,Lim,ag,12,-0.096755081,-0.086404084,-0.106905711
1,Lim,ag,13,-0.096396778,-0.086272062,-0.106702176
