Scenario,ScenName,County,Year,Median,CI_High,CI_Low
1,Lim,Adams,1,-0.000184,-0.0001227,-0.0002422
1,Lim,Adams,2,-0.000363,-0.0002479,-0.000474
1,Lim,Adams,3,-0.0005343,-0.0003682,-0.0007255
1,Lim,Adams,4,-0.000737,-0.0005009,-0.0009697
1,Lim,Adams,5,-0.0009079,-0.0006301,-0.0012111
1,Lim,Adams,6,-0.0010761,-0.0007182,-0.0014355
1,Lim,Adams,7,-0.0013046,-0.0008598,-0.0017063
1,Lim,Adams,8,-0.001498,-0.0010056,-0.0019461
1,Lim,Adams,9,-0.0016575,-0.0011135,-0.0021888
1,Lim,Adams,10,-0.0018078,-0.0012381,-0.0024247
1,Lim,Adams,11,-0.0018678,-0.0012389,-0.0024434
1,Lim,Adams,12,-0.0018426,-0.0012512,-0.0024265
1,Lim,Adams,13,-0.0018275,-0.001285,-0.0024021
1,Lim,Adams,14,-0.0018384,-0.0012444,-0.0024381
1,Lim,Adams,15,-0.0018259,-0.0012247,-0.0024284
1,Lim,Adams,16,-0.0018268,-0.0012587,-0.0024283
1,Lim,Adams,17,-0.0018182,-0.0012577,-0.0024222
1,Lim,Adams,18,-0.0018628,-0.0012401,-0.0024254
1,Lim,Adams,19,-0.0018266,-0.0012792,-0.002431
1,Lim,Adams,20,-0.001839,-0.0012511,-0.0024474
1,Lim,Adams,21,-0.0018288,-0.00126,-0.0024205
1,Lim,Adams,22,-0.001869,-0.0012562,-0.0024468
1,Lim,Adams,23,-0.001848,-0.0012392,-0.0024176
1,Lim,Adams,24,-0.001834,-0.0012337,-0.0024541
1,Lim,Adams,25,-0.001873,-0.0012699,-0.0024512
1,Lim,Adams,26,-0.0018718,-0.0012535,-0.002454
1,Lim,Adams,27,-0.0018786,-0.0012831,-0.0024301
1,Lim,Adams,28,-0.0018444,-0.0012837,-0.0024722
1,Lim,Adams,29,-0.0018547,-0.0012535,-0.0024596
1,Lim,Adams,30,-0.0018528,-0.0012605,-0.0024515
1,Lim,Adams,31,-0.0018969,-0.0012797,-0.0024513
1,Lim,Asotin,1,-0.0011063,-0.0009508,-0.0012556
1,Lim,Asotin,2,-0.0022489,-0.0019469,-0.0025327
1,Lim,Asotin,3,-0.0033835,-0.002945,-0.0038192
1,Lim,Asotin,4,-0.0045237,-0.0039263,-0.0051145
1,Lim,Asotin,5,-0.0057252,-0.0049417,-0.0064951
1,Lim,Asotin,6,-0.0069193,-0.0059785,-0.0078266
1,Lim,Asotin,7,-0.0081157,-0.0070145,-0.0092656
1,Lim,Asotin,8,-0.0093655,-0.0080508,-0.0106391
1,Lim,Asotin,9,-0.0105994,-0.0091707,-0.0120203
1,Lim,Asotin,10,-0.0117633,-0.0101411,-0.0134591
1,Lim,Asotin,11,-0.011933,-0.0102019,-0.0137408
1,Lim,Asotin,12,-0.0120309,-0.0102992,-0.0137545
1,Lim,Asotin,13,-0.0121433,-0.0102902,-0.0139842
1,Lim,Asotin,14,-0.0123322,-0.0104209,-0.0142757
1,Lim,Asotin,15,-0.0125521,-0.010511,-0.0144587
1,Lim,Asotin,16,-0.0125201,-0.0105053,-0.0144649
1,Lim,Asotin,17,-0.0126088,-0.0105632,-0.014807
1,Lim,Asotin,18,-0.0127184,-0.0106333,-0.0149104
1,Lim,Asotin,19,-0.0127971,-0.0104895,-0.0150894
1,Lim,Asotin,20,-0.0129058,-0.0105734,-0.0152962
1,Lim,Asotin,21,-0.0130059,-0.0105454,-0.0154207
1,Lim,Asotin,22,-0.0130174,-0.0107535,-0.0156541
1,Lim,Asotin,23,-0.0130797,-0.0105465,-0.0156716
1,Lim,Asotin,24,-0.0132741,-0.0106661,-0.0157687
1,Lim,Asotin,25,-0.0134303,-0.0107877,-0.0159666
1,Lim,Asotin,26,-0.0133531,-0.0108806,-0.0161014
1,Lim,Asotin,27,-0.013544,-0.0111162,-0.0161549
1,Lim,Asotin,28,-0.0135219,-0.0106815,-0.0162483
1,Lim,Asotin,29,-0.0136469,-0.0108891,-0.0164793
1,Lim,Asotin,30,-0.0136957,-0.0110576,-0.0164636
1,Lim,Asotin,31,-0.0137664,-0.010916,-0.0168094
1,Lim,Benton,1,-0.0009099,-0.0005881,-0.0012258
1,Lim,Benton,2,-0.0018299,-0.0011894,-0.0024633
1,Lim,Benton,3,-0.0027376,-0.0017793,-0.0037489
1,Lim,Benton,4,-0.0035915,-0.0023553,-0.0049874
1,Lim,Benton,5,-0.0046374,-0.0030449,-0.0061323
1,Lim,Benton,6,-0.0055248,-0.0036425,-0.0074571
1,Lim,Benton,7,-0.0064153,-0.0041491,-0.0087063
1,Lim,Benton,8,-0.0072773,-0.0045659,-0.0099881
1,Lim,Benton,9,-0.0084315,-0.0054731,-0.0113593
1,Lim,Benton,10,-0.0092474,-0.0060427,-0.0124391
1,Lim,Benton,11,-0.009217,-0.0059969,-0.0123116
1,Lim,Benton,12,-0.0093317,-0.0060396,-0.0125863
1,Lim,Benton,13,-0.0091198,-0.0059752,-0.0126283
1,Lim,Benton,14,-0.0094515,-0.006315,-0.0124113
1,Lim,Benton,15,-0.0093559,-0.0062501,-0.0126703
1,Lim,Benton,16,-0.0094213,-0.0060636,-0.012635
1,Lim,Benton,17,-0.0094309,-0.0063912,-0.0126688
1,Lim,Benton,18,-0.009557,-0.0062977,-0.0125949
1,Lim,Benton,19,-0.0095793,-0.0063371,-0.0127879
1,Lim,Benton,20,-0.0097079,-0.006351,-0.0129001
1,Lim,Benton,21,-0.0096195,-0.0064434,-0.0127121
1,Lim,Benton,22,-0.0097149,-0.0064202,-0.0128184
1,Lim,Benton,23,-0.009775,-0.006409,-0.0130493
1,Lim,Benton,24,-0.0097564,-0.0064341,-0.0128723
1,Lim,Benton,25,-0.0098351,-0.006616,-0.0129678
1,Lim,Benton,26,-0.0098167,-0.0065306,-0.012858
1,Lim,Benton,27,-0.0098011,-0.0065458,-0.012878
1,Lim,Benton,28,-0.0097731,-0.0066535,-0.0132073
1,Lim,Benton,29,-0.0099797,-0.0065549,-0.0129507
1,Lim,Benton,30,-0.0098804,-0.0065764,-0.0132094
1,Lim,Benton,31,-0.0099328,-0.0066982,-0.013184
1,Lim,Chelan,1,-0.0005799,-0.0002914,-0.0015803
1,Lim,Chelan,2,-0.0014006,-0.0007557,-0.0024154
1,Lim,Chelan,3,-0.002048,-0.0013829,-0.0031064
1,Lim,Chelan,4,-0.0028153,-0.0020093,-0.0036993
1,Lim,Chelan,5,-0.00345,-0.0025217,-0.0045291
1,Lim,Chelan,6,-0.0039483,-0.0029181,-0.0050316
1,Lim,Chelan,7,-0.0044701,-0.0033427,-0.0054948
1,Lim,Chelan,8,-0.0049083,-0.0037053,-0.0059885
1,Lim,Chelan,9,-0.0053474,-0.0042143,-0.0065357
1,Lim,Chelan,10,-0.0054293,-0.0043159,-0.006728
1,Lim,Chelan,11,-0.0054024,-0.0041441,-0.0066458
1,Lim,Chelan,12,-0.0053415,-0.004035,-0.0066021
1,Lim,Chelan,13,-0.0052548,-0.00395,-0.0064555
1,Lim,Chelan,14,-0.0051817,-0.0038153,-0.0064191
1,Lim,Chelan,15,-0.0052716,-0.0039583,-0.0065215
1,Lim,Chelan,16,-0.0056537,-0.0041572,-0.0072027
1,Lim,Chelan,17,-0.0060095,-0.0046767,-0.0075885
1,Lim,Chelan,18,-0.0064313,-0.0051186,-0.0080111
1,Lim,Chelan,19,-0.0068307,-0.0055553,-0.0084288
1,Lim,Chelan,20,-0.0071732,-0.0058081,-0.0088777
1,Lim,Chelan,21,-0.0075462,-0.0060656,-0.0093152
1,Lim,Chelan,22,-0.0078938,-0.0064601,-0.0096114
1,Lim,Chelan,23,-0.0081705,-0.0068232,-0.0100098
1,Lim,Chelan,24,-0.0084756,-0.0069973,-0.0101201
1,Lim,Chelan,25,-0.0084926,-0.0070993,-0.0103238
1,Lim,Chelan,26,-0.0087403,-0.0072923,-0.0105086
1,Lim,Chelan,27,-0.0089456,-0.0075484,-0.0106285
1,Lim,Chelan,28,-0.0090309,-0.0076845,-0.0108365
1,Lim,Chelan,29,-0.009166,-0.0077587,-0.0109418
1,Lim,Chelan,30,-0.0093535,-0.0080277,-0.0111202
1,Lim,Chelan,31,-0.0095249,-0.0080551,-0.0111342
1,Lim,Clallam,1,-0.0249955,-0.020438,-0.0295041
1,Lim,Clallam,2,-0.0506971,-0.0406972,-0.0597447
1,Lim,Clallam,3,-0.0756419,-0.0619366,-0.0903948
1,Lim,Clallam,4,-0.1021926,-0.0844227,-0.1201344
1,Lim,Clallam,5,-0.1280152,-0.1042887,-0.1503392
1,Lim,Clallam,6,-0.1551246,-0.1293176,-0.1813016
1,Lim,Clallam,7,-0.1793988,-0.1484319,-0.2115531
1,Lim,Clallam,8,-0.2064072,-0.1721018,-0.2445554
1,Lim,Clallam,9,-0.2344094,-0.1947671,-0.2771755
1,Lim,Clallam,10,-0.2609598,-0.2149834,-0.3089476
1,Lim,Clallam,11,-0.2643555,-0.2151652,-0.3101751
1,Lim,Clallam,12,-0.2678095,-0.2198215,-0.3138053
1,Lim,Clallam,13,-0.2690245,-0.221614,-0.3163051
1,Lim,Clallam,14,-0.2723018,-0.226558,-0.3217005
1,Lim,Clallam,15,-0.2741067,-0.2263789,-0.3228261
1,Lim,Clallam,16,-0.2768644,-0.2305794,-0.3231136
1,Lim,Clallam,17,-0.2780334,-0.2301313,-0.3240178
1,Lim,Clallam,18,-0.2788257,-0.2338143,-0.3275983
1,Lim,Clallam,19,-0.2806157,-0.2350143,-0.3305893
1,Lim,Clallam,20,-0.2851576,-0.2340518,-0.329707
1,Lim,Clallam,21,-0.2842032,-0.2351055,-0.3322576
1,Lim,Clallam,22,-0.2868968,-0.2366586,-0.331632
1,Lim,Clallam,23,-0.2875476,-0.2390533,-0.3365055
1,Lim,Clallam,24,-0.2887135,-0.2428021,-0.3351862
