Scenario,ScenName,County,Activity,Year,Median,CI_High,CI_Low
1,Lim,Adams,ACF,1,0,0,0
1,Lim,Adams,ACF,2,0,0,0
1,Lim,Adams,ACF,3,0,0,0
1,Lim,Adams,ACF,4,0,0,0
1,Lim,Adams,ACF,5,0,0,0
1,Lim,Adams,ACF,6,0,0,0
1,Lim,Adams,ACF,7,0,0,0
1,Lim,Adams,ACF,8,0,0,0
1,Lim,Adams,ACF,9,0,0,0
1,Lim,Adams,ACF,10,0,0,0
1,Lim,Adams,ACF,11,0,0,0
1,Lim,Adams,ACF,12,0,0,0
1,Lim,Adams,ACF,13,0,0,0
1,Lim,Adams,ACF,14,0,0,0
1,Lim,Adams,ACF,15,0,0,0
1,Lim,Adams,ACF,16,0,0,0
1,Lim,Adams,ACF,17,0,0,0
1,Lim,Adams,ACF,18,0,0,0
1,Lim,Adams,ACF,19,0,0,0
1,Lim,Adams,ACF,20,0,0,0
1,Lim,Adams,ACF,21,0,0,0
1,Lim,Adams,ACF,22,0,0,0
1,Lim,Adams,ACF,23,0,0,0
1,Lim,Adams,ACF,24,0,0,0
1,Lim,Adams,ACF,25,0,0,0
1,Lim,Adams,ACF,26,0,0,0
1,Lim,Adams,ACF,27,0,0,0
1,Lim,Adams,ACF,28,0,0,0
1,Lim,Adams,ACF,29,0,0,0
1,Lim,Adams,ACF,30,0,0,0
1,Lim,Adams,ACF,31,0,0,0
1,Lim,Adams,ag,1,-0.0001764,-0.0001155,-0.0002345
1,Lim,Adams,ag,2,-0.000347,-0.0002319,-0.0004592
1,Lim,Adams,ag,3,-0.0005111,-0.0003455,-0.0006991
1,Lim,Adams,ag,4,-0.0007041,-0.0004698,-0.0009398
1,Lim,Adams,ag,5,-0.0008684,-0.0005867,-0.0011751
1,Lim,Adams,ag,6,-0.0010267,-0.0006737,-0.0013881
1,Lim,Adams,ag,7,-0.0012452,-0.0008025,-0.0016512
1,Lim,Adams,ag,8,-0.0014309,-0.0009454,-0.0018796
1,Lim,Adams,ag,9,-0.0015869,-0.0010407,-0.0021153
1,Lim,Adams,ag,10,-0.0017246,-0.0011594,-0.0023407
1,Lim,Adams,ag,11,-0.0017837,-0.0011578,-0.0023565
1,Lim,Adams,ag,12,-0.0017628,-0.0011658,-0.0023427
1,Lim,Adams,ag,13,-0.0017386,-0.0011966,-0.0023169
1,Lim,Adams,ag,14,-0.0017497,-0.0011537,-0.0023526
1,Lim,Adams,ag,15,-0.001733,-0.0011366,-0.0023417
1,Lim,Adams,ag,16,-0.0017375,-0.0011665,-0.002342
1,Lim,Adams,ag,17,-0.0017286,-0.0011671,-0.0023334
1,Lim,Adams,ag,18,-0.0017664,-0.0011513,-0.002337
1,Lim,Adams,ag,19,-0.0017287,-0.0011786,-0.0023321
1,Lim,Adams,ag,20,-0.0017421,-0.0011571,-0.0023556
1,Lim,Adams,ag,21,-0.0017305,-0.0011605,-0.0023217
1,Lim,Adams,ag,22,-0.00177,-0.0011535,-0.0023514
1,Lim,Adams,ag,23,-0.0017505,-0.00114,-0.002314
1,Lim,Adams,ag,24,-0.0017298,-0.0011343,-0.0023478
1,Lim,Adams,ag,25,-0.0017722,-0.001163,-0.0023487
1,Lim,Adams,ag,26,-0.0017679,-0.001154,-0.0023512
1,Lim,Adams,ag,27,-0.0017772,-0.0011814,-0.0023255
1,Lim,Adams,ag,28,-0.001739,-0.0011831,-0.0023676
1,Lim,Adams,ag,29,-0.0017452,-0.0011422,-0.0023476
1,Lim,Adams,ag,30,-0.001745,-0.0011583,-0.0023397
1,Lim,Adams,ag,31,-0.0017899,-0.0011663,-0.0023442
1,Lim,Adams,grass,1,-7.40E-06,-6.20E-06,-8.60E-06
1,Lim,Adams,grass,2,-1.48E-05,-1.23E-05,-1.71E-05
1,Lim,Adams,grass,3,-2.20E-05,-1.85E-05,-2.56E-05
1,Lim,Adams,grass,4,-2.93E-05,-2.43E-05,-3.40E-05
1,Lim,Adams,grass,5,-3.67E-05,-3.10E-05,-4.29E-05
1,Lim,Adams,grass,6,-4.43E-05,-3.67E-05,-5.18E-05
1,Lim,Adams,grass,7,-5.16E-05,-4.32E-05,-6.03E-05
1,Lim,Adams,grass,8,-5.87E-05,-4.86E-05,-6.87E-05
1,Lim,Adams,grass,9,-6.62E-05,-5.48E-05,-7.64E-05
1,Lim,Adams,grass,10,-7.42E-05,-6.20E-05,-8.61E-05
1,Lim,Adams,grass,11,-7.34E-05,-6.23E-05,-8.55E-05
1,Lim,Adams,grass,12,-7.36E-05,-6.12E-05,-8.55E-05
1,Lim,Adams,grass,13,-7.34E-05,-6.26E-05,-8.57E-05
1,Lim,Adams,grass,14,-7.35E-05,-6.05E-05,-8.60E-05
1,Lim,Adams,grass,15,-7.35E-05,-6.15E-05,-8.62E-05
1,Lim,Adams,grass,16,-7.31E-05,-6.15E-05,-8.66E-05
1,Lim,Adams,grass,17,-7.36E-05,-6.15E-05,-8.65E-05
1,Lim,Adams,grass,18,-7.39E-05,-6.20E-05,-8.53E-05
1,Lim,Adams,grass,19,-7.36E-05,-6.13E-05,-8.53E-05
1,Lim,Adams,grass,20,-7.35E-05,-6.08E-05,-8.53E-05
1,Lim,Adams,grass,21,-7.41E-05,-6.25E-05,-8.58E-05
1,Lim,Adams,grass,22,-7.40E-05,-6.15E-05,-8.51E-05
1,Lim,Adams,grass,23,-7.35E-05,-6.11E-05,-8.59E-05
1,Lim,Adams,grass,24,-7.38E-05,-6.24E-05,-8.57E-05
1,Lim,Adams,grass,25,-7.35E-05,-6.12E-05,-8.52E-05
1,Lim,Adams,grass,26,-7.39E-05,-6.16E-05,-8.45E-05
1,Lim,Adams,grass,27,-7.28E-05,-6.18E-05,-8.51E-05
1,Lim,Adams,grass,28,-7.39E-05,-6.19E-05,-8.59E-05
1,Lim,Adams,grass,29,-7.35E-05,-6.16E-05,-8.46E-05
1,Lim,Adams,grass,30,-7.35E-05,-6.17E-05,-8.57E-05
1,Lim,Adams,grass,31,-7.32E-05,-6.11E-05,-8.57E-05
1,Lim,Adams,ifm,1,0,0,0
1,Lim,Adams,ifm,2,0,0,0
1,Lim,Adams,ifm,3,0,0,0
1,Lim,Adams,ifm,4,0,0,0
1,Lim,Adams,ifm,5,0,0,0
1,Lim,Adams,ifm,6,0,0,0
1,Lim,Adams,ifm,7,0,0,0
1,Lim,Adams,ifm,8,0,0,0
1,Lim,Adams,ifm,9,0,0,0
1,Lim,Adams,ifm,10,0,0,0
1,Lim,Adams,ifm,11,0,0,0
1,Lim,Adams,ifm,12,0,0,0
1,Lim,Adams,ifm,13,0,0,0
1,Lim,Adams,ifm,14,0,0,0
1,Lim,Adams,ifm,15,0,0,0
1,Lim,Adams,ifm,16,0,0,0
1,Lim,Adams,ifm,17,0,0,0
1,Lim,Adams,ifm,18,0,0,0
1,Lim,Adams,ifm,19,0,0,0
1,Lim,Adams,ifm,20,0,0,0
