Scenario,ScenName,County,Activity,Subactivity,Year,Median,CI_High,CI_Low
1,Lim,Adams,ACF,1f2rur,1,0,0,0
1,Lim,Adams,ACF,1f2rur,2,0,0,0
1,Lim,Adams,ACF,1f2rur,3,0,0,0
1,Lim,Adams,ACF,1f2rur,4,0,0,0
1,Lim,Adams,ACF,1f2rur,5,0,0,0
1,Lim,Adams,ACF,1f2rur,6,0,0,0
1,Lim,Adams,ACF,1f2rur,7,0,0,0
1,Lim,Adams,ACF,1f2rur,8,0,0,0
1,Lim,Adams,ACF,1f2rur,9,0,0,0
1,Lim,Adams,ACF,1f2rur,10,0,0,0
1,Lim,Adams,ACF,1f2rur,11,0,0,0
1,Lim,Adams,ACF,1f2rur,12,0,0,0
1,Lim,Adams,ACF,1f2rur,13,0,0,0
1,Lim,Adams,ACF,1f2rur,14,0,0,0
1,Lim,Adams,ACF,1f2rur,15,0,0,0
1,Lim,Adams,ACF,1f2rur,16,0,0,0
1,Lim,Adams,ACF,1f2rur,17,0,0,0
1,Lim,Adams,ACF,1f2rur,18,0,0,0
1,Lim,Adams,ACF,1f2rur,19,0,0,0
1,Lim,Adams,ACF,1f2rur,20,0,0,0
1,Lim,Adams,ACF,1f2rur,21,0,0,0
1,Lim,Adams,ACF,1f2rur,22,0,0,0
1,Lim,Adams,ACF,1f2rur,23,0,0,0
1,Lim,Adams,ACF,1f2rur,24,0,0,0
1,Lim,Adams,ACF,1f2rur,25,0,0,0
1,Lim,Adams,ACF,1f2rur,26,0,0,0
1,Lim,Adams,ACF,1f2rur,27,0,0,0
1,Lim,Adams,ACF,1f2rur,28,0,0,0
1,Lim,Adams,ACF,1f2rur,29,0,0,0
1,Lim,Adams,ACF,1f2rur,30,0,0,0
1,Lim,Adams,ACF,1f2rur,31,0,0,0
1,Lim,Adams,ACF,2f2urb,1,0,0,0
1,Lim,Adams,ACF,2f2urb,2,0,0,0
1,Lim,Adams,ACF,2f2urb,3,0,0,0
1,Lim,Adams,ACF,2f2urb,4,0,0,0
1,Lim,Adams,ACF,2f2urb,5,0,0,0
1,Lim,Adams,ACF,2f2urb,6,0,0,0
1,Lim,Adams,ACF,2f2urb,7,0,0,0
1,Lim,Adams,ACF,2f2urb,8,0,0,0
1,Lim,Adams,ACF,2f2urb,9,0,0,0
1,Lim,Adams,ACF,2f2urb,10,0,0,0
1,Lim,Adams,ACF,2f2urb,11,0,0,0
1,Lim,Adams,ACF,2f2urb,12,0,0,0
1,Lim,Adams,ACF,2f2urb,13,0,0,0
1,Lim,Adams,ACF,2f2urb,14,0,0,0
1,Lim,Adams,ACF,2f2urb,15,0,0,0
1,Lim,Adams,ACF,2f2urb,16,0,0,0
1,Lim,Adams,ACF,2f2urb,17,0,0,0
1,Lim,Adams,ACF,2f2urb,18,0,0,0
1,Lim,Adams,ACF,2f2urb,19,0,0,0
1,Lim,Adams,ACF,2f2urb,20,0,0,0
1,Lim,Adams,ACF,2f2urb,21,0,0,0
1,Lim,Adams,ACF,2f2urb,22,0,0,0
1,Lim,Adams,ACF,2f2urb,23,0,0,0
1,Lim,Adams,ACF,2f2urb,24,0,0,0
1,Lim,Adams,ACF,2f2urb,25,0,0,0
1,Lim,Adams,ACF,2f2urb,26,0,0,0
1,Lim,Adams,ACF,2f2urb,27,0,0,0
1,Lim,Adams,ACF,2f2urb,28,0,0,0
1,Lim,Adams,ACF,2f2urb,29,0,0,0
1,Lim,Adams,ACF,2f2urb,30,0,0,0
1,Lim,Adams,ACF,2f2urb,31,0,0,0
2,Amb,Adams,ACF,1f2rur,1,0,0,0
2,Amb,Adams,ACF,1f2rur,2,0,0,0
2,Amb,Adams,ACF,1f2rur,3,0,0,0
2,Amb,Adams,ACF,1f2rur,4,0,0,0
2,Amb,Adams,ACF,1f2rur,5,0,0,0
2,Amb,Adams,ACF,1f2rur,6,0,0,0
2,Amb,Adams,ACF,1f2rur,7,0,0,0
2,Amb,Adams,ACF,1f2rur,8,0,0,0
2,Amb,Adams,ACF,1f2rur,9,0,0,0
2,Amb,Adams,ACF,1f2rur,10,0,0,0
2,Amb,Adams,ACF,1f2rur,11,0,0,0
2,Amb,Adams,ACF,1f2rur,12,0,0,0
2,Amb,Adams,ACF,1f2rur,13,0,0,0
2,Amb,Adams,ACF,1f2rur,14,0,0,0
2,Amb,Adams,ACF,1f2rur,15,0,0,0
2,Amb,Adams,ACF,1f2rur,16,0,0,0
2,Amb,Adams,ACF,1f2rur,17,0,0,0
2,Amb,Adams,ACF,1f2rur,18,0,0,0
2,Amb,Adams,ACF,1f2rur,19,0,0,0
2,Amb,Adams,ACF,1f2rur,20,0,0,0
2,Amb,Adams,ACF,1f2rur,21,0,0,0
2,Amb,Adams,ACF,1f2rur,22,0,0,0
2,Amb,Adams,ACF,1f2rur,23,0,0,0
2,Amb,Adams,ACF,1f2rur,24,0,0,0
2,Amb,Adams,ACF,1f2rur,25,0,0,0
2,Amb,Adams,ACF,1f2rur,26,0,0,0
2,Amb,Adams,ACF,1f2rur,27,0,0,0
2,Amb,Adams,ACF,1f2rur,28,0,0,0
2,Amb,Adams,ACF,1f2rur,29,0,0,0
2,Amb,Adams,ACF,1f2rur,30,0,0,0
2,Amb,Adams,ACF,1f2rur,31,0,0,0
2,Amb,Adams,ACF,2f2urb,1,0,0,0
2,Amb,Adams,ACF,2f2urb,2,0,0,0
2,Amb,Adams,ACF,2f2urb,3,0,0,0
2,Amb,Adams,ACF,2f2urb,4,0,0,0
2,Amb,Adams,ACF,2f2urb,5,0,0,0
2,Amb,Adams,ACF,2f2urb,6,0,0,0
2,Amb,Adams,ACF,2f2urb,7,0,0,0
