,activity,county,type,rate_mean,rate_sd,stock_mean,stock_sd,baseline,cv,cv_scenario
Forest,Fed,Asotin,AC,0,0,0.483995021,0.0393,6262.496,1,6262.496
Forest,Other,Asotin,AC,0,0,0.483995021,0,1443.644,1,1443.644
Forest,Private,Asotin,AC,0,0,0.483995021,0.0575,11790.972,1,11790.972
Forest,State,Asotin,AC,0,0,0,0,0,0,0
Forest,Prvt_Seq,Asotin,AC,1.001333333,0.601,0,0,179.2566892,1,179.2566892
Forest,Fed,Clallam,AC,0,0,0.51865663,0.0641,20290.20133,0.781040323,15847.4654
Forest,Other,Clallam,AC,0,0,0.51865663,0.0727,2563.738667,1,2563.738667
Forest,Private,Clallam,AC,0,0,0.51865663,0.0785,1009182.028,0.353691065,356938.6663
Forest,State,Clallam,AC,0,0,0.51865663,0.0754,263852.5547,0.459259176,121176.7069
Forest,Prvt_Seq,Clallam,AC,3.605333333,0.705666667,0,0,2688.850338,0.353691065,951.0223397
Forest,Fed,Clark,AC,0,0,0.51865663,0.0641,1517.852,1,1517.852
Forest,Other,Clark,AC,0,0,0.51865663,0.0523,5077.217333,1,5077.217333
Forest,Private,Clark,AC,0,0,0.51865663,0.0514,281175.98,0.474744862,133486.8518
Forest,State,Clark,AC,0,0,0.51865663,0.0593,209678.976,0.533614617,111887.7665
Forest,Prvt_Seq,Clark,AC,3.605333333,0.705666667,0,0,773.0444722,0.474744862,366.9988913
Forest,Fed,Columbia,AC,0,0,0.483995021,0.0555,6970.408,1,6970.408
Forest,Other,Columbia,AC,0,0,0.483995021,0.0555,12870.388,1,12870.388
Forest,Private,Columbia,AC,0,0,0.483995021,0.0535,45225.476,1,45225.476
Forest,State,Columbia,AC,0,0,0.483995021,0,42.372,1,42.372
Forest,Prvt_Seq,Columbia,AC,1.001333333,0.601,0,0,637.3571172,1,637.3571172
Forest,Fed,Cowlitz,AC,0,0,0.51865663,0.0785,484.8893333,1,484.8893333
Forest,Other,Cowlitz,AC,0,0,0.51865663,0.037,205.348,1,205.348
Forest,Private,Cowlitz,AC,0,0,0.51865663,0.0727,1366938.931,0.199912711,273268.4675
Forest,State,Cowlitz,AC,0,0,0.51865663,0.0514,284550.1013,0.395518155,112544.7311
Forest,Prvt_Seq,Cowlitz,AC,3.605333333,0.705666667,0,0,3194.986872,0.199912711,638.7184872
Forest,Fed,Douglas,AC,0,0,0,0,0,0,0
Forest,Other,Douglas,AC,0,0,0,0,0,0,0
Forest,Private,Douglas,AC,0,0,0.483995021,0.0363,492.2,1,492.2
Forest,State,Douglas,AC,0,0,0,0,0,0,0
Forest,Prvt_Seq,Douglas,AC,1.001333333,0.601,0,0,246.4779477,1,246.4779477
Forest,Fed,Garfield,AC,0,0,0.483995021,0.0527,21999.96429,1,21999.96429
Forest,Other,Garfield,AC,0,0,0,0,0,0,0
Forest,Private,Garfield,AC,0,0,0.483995021,0.0809,4993.904,1,4993.904
Forest,State,Garfield,AC,0,0,0.483995021,0,1078.56,1,1078.56
Forest,Prvt_Seq,Garfield,AC,1.001333333,0.601,0,0,394.3647163,1,394.3647163
Forest,Fed,Grays Harbor,AC,0,0,0.51865663,0.0308,36643.13,0.749187387,27452.57082
Forest,Other,Grays Harbor,AC,0,0,0.51865663,0.0815,160886.3629,0.464181784,74680.51895
Forest,Private,Grays Harbor,AC,0,0,0.51865663,0.0616,1914099.925,0.415864921,796007.0141
Forest,State,Grays Harbor,AC,0,0,0.51865663,0.0754,249707.0657,0.506974652,126595.1527
Forest,Prvt_Seq,Grays Harbor,AC,3.605333333,0.705666667,0,0,0,0.415864921,0
Forest,Fed,Island,AC,0,0,0.51865663,0,363.7866667,1,363.7866667
Forest,Other,Island,AC,0,0,0.51865663,0.128,49.78133333,1,49.78133333
Forest,Private,Island,AC,0,0,0.51865663,0.0514,37519.32933,0.439072383,16473.70134
Forest,State,Island,AC,0,0,0.51865663,0.0785,62.22666667,1,62.22666667
Forest,Prvt_Seq,Island,AC,3.605333333,0.705666667,0,0,373.4514359,0.439072383,163.9722119
Forest,Fed,Jefferson,AC,0,0,0.51865663,0.0453,13164.29067,1,13164.29067
Forest,Other,Jefferson,AC,0,0,0.51865663,0,408.7813333,1,408.7813333
