Group,activity,type,county,rate_mean,rate_sd,stock_mean,stock_sd,fire_mean,fire_sd,mean_reveg,cv,baseline,cv_scen
Forest,reforestation_low,seq,Ferry,NA,NA,0,0,12784.62,10561.2735,0.002595306,0.6411859,33.18,6771.739657
Forest,reforestation_moderate,seq,Ferry,NA,NA,0,0,10065.6,8924.726235,0.000283143,0.848136298,2.85,7569.38427
Forest,reforestation_high,seq,Ferry,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Chelan,NA,NA,0,0,25560.59625,32938.58969,0.009060528,0.628668293,231.5925,20707.44695
Forest,reforestation_moderate,seq,Chelan,NA,NA,0,0,2447.775,3104.485729,0.002674878,1,6.5475,4029.76999
Forest,reforestation_high,seq,Chelan,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Columbia,NA,NA,0,0,4643.28,5483.005582,0.013548612,1,62.91,6249.448158
Forest,reforestation_moderate,seq,Columbia,NA,NA,0,0,7360.2,17924.42971,0.01171028,1,86.19,26934.82602
Forest,reforestation_high,seq,Columbia,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Garfield,NA,NA,0,0,4922.46,4501.319844,0.003492156,0.902302517,17.19,4061.552223
Forest,reforestation_moderate,seq,Garfield,NA,NA,0,0,3925.44,9559.695844,0.02412341,1,94.695,16202.38823
Forest,reforestation_high,seq,Garfield,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Kittitas,NA,NA,0,0,1.98,0,0.409090909,0,0.81,0
Forest,reforestation_moderate,seq,Kittitas,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_high,seq,Kittitas,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Okanogan,NA,NA,0,0,24639.12,29269.046,0.003130023,1,77.121,35727.8014
Forest,reforestation_moderate,seq,Okanogan,NA,NA,0,0,22.275,30.2288149,0.008080808,0.707106781,0.18,21.375
Forest,reforestation_high,seq,Okanogan,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_low,seq,Yakima,NA,NA,0,0,4.68,0,0.961538462,0,4.5,0
Forest,reforestation_moderate,seq,Yakima,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_high,seq,Yakima,NA,NA,0,0,0,0.1,0,0.1,0,0.1
Forest,reforestation_low,seq,Null,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_moderate,seq,Null,NA,NA,0,0,0,0,0,0,0,0
Forest,reforestation_high,seq,Null,NA,NA,0,0,0,0,0,0,0,0
